"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FRA","France","2006","2006",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FRA","France","2007","2007",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FRA","France","2008","2008",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FRA","France","2009","2009",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FRA","France","2010","2010",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FRA","France","2011","2011",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FRA","France","2012","2012",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FRA","France","2013","2013",0.9,"B","Break"
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FRA","France","2014","2014",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FRA","France","2015","2015",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FRA","France","2016","2016",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FRA","France","2017","2017",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FRA","France","2018","2018",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","DEU","Germany","2000","2000",2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","DEU","Germany","2001","2001",2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","DEU","Germany","2002","2002",1.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","DEU","Germany","2003","2003",1.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","DEU","Germany","2004","2004",1.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","DEU","Germany","2005","2005",1.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","DEU","Germany","2006","2006",1.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","DEU","Germany","2007","2007",1.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","DEU","Germany","2008","2008",1.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","DEU","Germany","2009","2009",1.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","DEU","Germany","2010","2010",1.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","DEU","Germany","2011","2011",1.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","DEU","Germany","2012","2012",1.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","DEU","Germany","2013","2013",1.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","DEU","Germany","2014","2014",1.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","DEU","Germany","2015","2015",1.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","DEU","Germany","2016","2016",1.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","DEU","Germany","2017","2017",1.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","HUN","Hungary","2000","2000",1.6,"E","Estimated value"
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","HUN","Hungary","2001","2001",1.5,"E","Estimated value"
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","HUN","Hungary","2002","2002",1.6,"E","Estimated value"
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","HUN","Hungary","2003","2003",1.5,"E","Estimated value"
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","HUN","Hungary","2004","2004",1.6,"B","Break"
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","HUN","Hungary","2005","2005",1.5,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","HUN","Hungary","2006","2006",1.4,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","HUN","Hungary","2007","2007",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","HUN","Hungary","2008","2008",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","HUN","Hungary","2009","2009",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","HUN","Hungary","2010","2010",1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","HUN","Hungary","2011","2011",1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","HUN","Hungary","2012","2012",1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","HUN","Hungary","2013","2013",1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","HUN","Hungary","2014","2014",1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","HUN","Hungary","2015","2015",1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","HUN","Hungary","2016","2016",1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","HUN","Hungary","2017","2017",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","HUN","Hungary","2018","2018",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ISL","Iceland","2007","2007",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ISL","Iceland","2008","2008",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ISL","Iceland","2009","2009",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ISL","Iceland","2010","2010",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ISL","Iceland","2011","2011",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ISL","Iceland","2012","2012",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ISL","Iceland","2013","2013",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ISL","Iceland","2014","2014",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ISL","Iceland","2015","2015",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ISL","Iceland","2016","2016",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ISL","Iceland","2017","2017",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ISL","Iceland","2018","2018",0.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","IRL","Ireland","2004","2004",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","IRL","Ireland","2005","2005",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","IRL","Ireland","2006","2006",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","IRL","Ireland","2007","2007",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","IRL","Ireland","2008","2008",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","IRL","Ireland","2009","2009",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","IRL","Ireland","2010","2010",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","IRL","Ireland","2011","2011",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","IRL","Ireland","2012","2012",0.8,"B","Break"
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","IRL","Ireland","2013","2013",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","IRL","Ireland","2014","2014",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","IRL","Ireland","2015","2015",0.8,"B","Break"
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","IRL","Ireland","2016","2016",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","IRL","Ireland","2017","2017",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","IRL","Ireland","2018","2018",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ITA","Italy","2000","2000",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ITA","Italy","2001","2001",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ITA","Italy","2002","2002",1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ITA","Italy","2003","2003",1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ITA","Italy","2004","2004",1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ITA","Italy","2005","2005",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ITA","Italy","2006","2006",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ITA","Italy","2007","2007",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ITA","Italy","2008","2008",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ITA","Italy","2009","2009",0.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ITA","Italy","2010","2010",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ITA","Italy","2011","2011",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ITA","Italy","2012","2012",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ITA","Italy","2013","2013",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ITA","Italy","2014","2014",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ITA","Italy","2015","2015",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ITA","Italy","2016","2016",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ITA","Italy","2017","2017",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","ITA","Italy","2018","2018",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","KOR","Korea","2010","2010",1.3,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","KOR","Korea","2011","2011",1.4,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","KOR","Korea","2012","2012",1.3,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","KOR","Korea","2013","2013",1.3,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","KOR","Korea","2014","2014",1.2,"B","Break"
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","KOR","Korea","2015","2015",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","KOR","Korea","2016","2016",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","KOR","Korea","2017","2017",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","KOR","Korea","2018","2018",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","LUX","Luxembourg","2002","2002",1.4,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","LUX","Luxembourg","2003","2003",1.3,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","LUX","Luxembourg","2004","2004",1.3,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","LUX","Luxembourg","2005","2005",1.3,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","LUX","Luxembourg","2006","2006",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","LUX","Luxembourg","2007","2007",1.3,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","LUX","Luxembourg","2008","2008",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","LUX","Luxembourg","2009","2009",1.3,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","LUX","Luxembourg","2010","2010",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","LUX","Luxembourg","2011","2011",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","LUX","Luxembourg","2012","2012",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","LUX","Luxembourg","2013","2013",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","LUX","Luxembourg","2014","2014",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","LUX","Luxembourg","2015","2015",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","LUX","Luxembourg","2016","2016",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","LUX","Luxembourg","2017","2017",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","LUX","Luxembourg","2018","2018",1,"P","Provisional value"
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NLD","Netherlands","2015","2015",0.5,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NLD","Netherlands","2016","2016",0.5,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NLD","Netherlands","2017","2017",0.5,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NLD","Netherlands","2018","2018",0.5,"P","Provisional value"
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NZL","New Zealand","2000","2000",0.5,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NZL","New Zealand","2001","2001",0.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NZL","New Zealand","2002","2002",0.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NZL","New Zealand","2003","2003",0.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NZL","New Zealand","2004","2004",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NZL","New Zealand","2005","2005",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NZL","New Zealand","2006","2006",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NZL","New Zealand","2007","2007",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NZL","New Zealand","2008","2008",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NZL","New Zealand","2009","2009",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NZL","New Zealand","2010","2010",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NZL","New Zealand","2011","2011",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NZL","New Zealand","2012","2012",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NZL","New Zealand","2013","2013",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NZL","New Zealand","2014","2014",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NZL","New Zealand","2015","2015",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NZL","New Zealand","2016","2016",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","NZL","New Zealand","2017","2017",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","POL","Poland","2005","2005",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","POL","Poland","2006","2006",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","POL","Poland","2007","2007",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","POL","Poland","2008","2008",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","POL","Poland","2009","2009",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","POL","Poland","2010","2010",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","POL","Poland","2011","2011",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","POL","Poland","2012","2012",1.1,,
